Company,Field,Value
Bharath Components,legal_name,"Bharath Components (100% subsidiary of IoTechWorld Avigation Pvt. Ltd., per company website)"
Bharath Components,hq,"Gurugram, Haryana, India"
Bharath Components,incorporated,Separate legal-entity details not established from reviewed primary sources; brand/subsidiary relationship is stated by company.
Bharath Components,cin,Not established from reviewed sources
Bharath Components,ownership,"100% subsidiary of IoTechWorld Avigation Pvt. Ltd., according to Bharath Components' website."
Bharath Components,revenue,Not established from reviewed public primary sources.
Bharath Components,products,"BLDC motors, drone propellers, ESCs, flight controllers, motor pumps, GNSS, GCS and radar systems; PDB and other drone components."
Bharath Components,uav_overlap,"High — broad component overlap, especially motors, propellers, ESCs and power/control hardware."
Bharath Components,manufacturing,Company states components are developed in-house or sourced from trusted Indian manufacturers; it promotes indigenization and Indian manufacturing.
Bharath Components,technology,"Company claims 90%+ indigenization; GCS, PDB, motor and component development for agriculture, logistics, surveillance and other UAV applications."
Bharath Components,customers,Business-partner list is published on the website; specific commercial contract values were not established.
Bharath Components,strengths,Backed by IoTechWorld; broad component portfolio; strong agriculture-drone ecosystem connection; Indian-indigenization positioning.
Bharath Components,weaknesses,"Less evidence in reviewed sources of a standalone, broad propulsion stack comparable to Vector's full propulsion-plus-power positioning."
Bharath Components,threat,High
Bharath Components,Source,Official component page | https://bharathcomponents.com/drone-components/ | Portfolio and subsidiary positioning.
Bharath Components,Source,"Drone components article | https://iotechworld.com/drone-components | BLDC motors, propellers, ESCs, FCs, motor pumps, GNSS/GCS/radar; indigenization claims."
Bharath Components,Source,"Achievements | https://bharathcomponents.com/achievements-awards/ | ISO 9001, Wings India award, subsidiary statement and registered office."
Bharath Components,Source,GCS | https://bharathcomponents.com/drone-gcs/ | GCS capabilities and use cases.
Bharath Components,Source,Partners | https://bharathcomponents.com/dealers-services/ | Published business partner list.
